Sequence_ID, K, Tau, Lag-time(ns), occlusion_p,n
3i3z_2, NAN, NAN, NAN,0,8001
3i3z_3, NAN, NAN, NAN,0,8001
3i3z_4,0.00267421,373.9421622,93.48554054,1153,8001
3i3z_5,0.003976991,251.4463681,62.86159202,7977,8001
3i3z_6,0.001252167,798.6153344,199.6538336,2349,8001
3i3z_7, NAN, NAN, NAN,0,8001
3i3z_8, NAN, NAN, NAN,0,8001
3i3z_9,0.005522575,181.0749506,45.26873764,7868,8001
3i3z_10,0.003980883,251.2005679,62.80014198,7997,8001
3i3z_11,0.00584447,171.1019089,42.77547723,3126,8001
3i3z_12,0.002556007,391.2352886,97.80882216,6347,8001
3i3z_13,0.000888049,1126.063672,281.515918,7980,8001
