Sequence_ID, K, Tau, Lag-time(ns), occlusion_p,n
4ey9_2, NAN, NAN, NAN,0,8001
4ey9_3, NAN, NAN, NAN,0,8001
4ey9_4,0.013489699,74.13064059,18.53266015,1133,8001
4ey9_5,0.000910207,1098.65172,274.6629301,7917,8001
4ey9_6,0.00256822,389.374782,97.34369551,5579,8001
4ey9_7, NAN, NAN, NAN,0,8001
4ye9_8,NAN,NAN,NAN,0,
4ey9_9,0.019917876,50.20615719,12.5515393,7927,8001
4ey9_10,0.000503037,1987.925465,496.9813662,7990,8001
4ey9_11,0.645679176,1.548756778,0.387189195,36,8001
4ey9_12,0.002804865,356.5234394,89.13085986,6639,8001
4ey9_13,0.004327449,231.0830481,57.77076203,8001,8001
