Sequence_ID, K, Tau, Lag-time(ns), occlusion_p,n
4eyd_2, NAN, NAN, NAN,0,8001
4eyd_3, NAN, NAN, NAN,0,8001
4eyd_4,0.072407556,13.81071327,3.452678317,399,8001
4eyd_5,0.003933155,254.2488389,63.56220972,7992,8001
4eyd_6,0.003617463,276.4368407,69.10921018,5913,8001
4eyd_7, NAN, NAN, NAN,0,8001
4eyd_8, NAN, NAN, NAN,0,8001
4eyd_9,0.005459914,183.1530541,45.78826351,7963,8001
4eyd_10,0.002054183,486.8116433,121.7029108,7972,8001
4eyd_11,0.011547827,86.59638195,21.64909549,868,8001
4eyd_12,0.001780597,561.6095253,140.4023813,5862,8001
4eyd_13,0.010091902,99.08934817,24.77233704,8001,8001
