Sequence_ID, K, tau(lag-index), lag-time(ns)
2mvc_wt,,,44.4417122
2,0.00172893,578.3925675,144.5981419
3,0.001898143,526.8306697,131.7076674
4,0.00091794,1089.396343,272.3490858
5,0.000775506,1289.480325,322.3700811
6,0.004858535,205.8233723,51.45584307
7,0.002324372,430.2238171,107.5559543
8,0.003716355,269.0808474,67.27021186
9,0.013737273,72.79464937,18.19866234
10,0.001658738,602.8680959,150.717024
11,0.006444448,155.1723162,38.79307904
12,0.001537092,650.579295,162.6448238
13,0.003151548,317.3043959,79.32609897
