Sequence_ID, K, tau(lag-index), lag-time(ns)
WT,,,44.4417122
2,0.003429088,291.6226951,72.90567377
3,0.000912504,1095.886071,273.9715178
4,0.001370832,729.4839408,182.3709852
5,0.002529431,395.3458696,98.83646741
6,0.00193834,515.9053401,128.976335
7,0.005119152,195.3448607,48.83621518
8,0.002298654,435.037167,108.7592918
9,0.008481482,117.9039287,29.47598217
10,0.00126489,790.5825013,197.6456253
11,0.001281663,780.2363415,195.0590854
12,0.006085639,164.3212777,41.08031943
13,,1200,300
