Sequence_ID, K, Tau, Lag-time(ns), occlusion_p,n
2mvc_2,0.062765364,15.93235394,3.983088484,3,8001
2mvc_3,,,,0,8001
2mvc_4,0.011731646,85.23953146,21.30988287,980,8001
2mvc_5,0.004563578,219.1263152,54.7815788,7937,8001
2mvc_6,0.002374677,421.1098882,105.2774721,4337,8001
2mvc_7,,,,0,8001
2mvc_8,,,,0,8001
2mvc_9,0.002181397,458.4217657,114.6054414,7744,8001
2mvc_10,0.004192965,238.4946958,59.62367394,7984,8001
2mvc_11,0.004255509,234.9895371,58.74738426,1074,8001
2mvc_12,0.003787606,264.0190254,66.00475635,5198,8001
2mvc_13,0.003064724,326.2936329,81.57340824,8001,8001
