#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 0.000000 1.332341 1.656247 0.730240
 100.000000 1.241527 1.378277 0.558161
 200.000000 1.194968 1.541871 0.570809
 300.000000 1.187584 1.669958 0.443383
 400.000000 1.281614 1.487292 0.424116
 500.000000 1.220877 1.316834 0.429741
 600.000000 1.272393 1.352402 0.322036
 700.000000 1.198544 1.366415 0.282606
 800.000000 1.267927 1.444367 0.202619
 900.000000 1.251993 1.418505 0.240524
 1000.000000 1.206019 1.522977 0.388568
 1100.000000 1.252236 1.544867 0.550461
 1200.000000 1.270526 1.532546 0.288065
 1300.000000 1.312791 1.565416 0.307689
 1400.000000 1.060318 1.231348 0.225482
 1500.000000 1.264158 1.195697 0.276579
 1600.000000 1.113630 1.236071 0.130884
 1700.000000 1.162988 1.240365 0.295196
 1800.000000 1.268784 1.411267 0.290532
 1900.000000 1.264641 1.178465 0.270063
 2000.000000 1.293544 1.280979 0.320915
 2100.000000 1.270777 1.116624 0.163752
 2200.000000 1.189195 0.940325 0.211695
 2300.000000 1.244773 1.031603 0.184074
 2400.000000 1.246856 1.120613 0.266762
 2500.000000 1.300214 1.070197 0.533662
 2600.000000 1.245809 1.225208 0.333797
 2700.000000 1.298760 1.374614 0.344422
 2800.000000 1.288075 1.153474 0.243408
 2900.000000 1.355319 1.077926 0.340717
 3000.000000 1.234495 1.084255 0.354471
 3100.000000 1.249434 1.084690 -0.068187
 3200.000000 1.256238 1.266556 0.267429
 3300.000000 1.215413 1.211389 0.310123
 3400.000000 1.212744 1.065125 0.445838
 3500.000000 1.255339 0.980023 0.209829
 3600.000000 1.250293 1.094157 0.309184
 3700.000000 1.364932 1.237954 0.232552
 3800.000000 1.385215 1.189270 0.239245
 3900.000000 1.200365 0.973227 0.358473
 4000.000000 1.272064 1.426820 0.330657
 4100.000000 1.036910 1.363721 0.179706
 4200.000000 1.043442 1.445916 0.294629
 4300.000000 1.173249 1.741733 0.209732
 4400.000000 1.215244 1.922953 0.217828
 4500.000000 1.231858 1.842397 0.013363
 4600.000000 1.259031 1.735162 0.431390
 4700.000000 1.296747 1.745049 0.396958
 4800.000000 1.385624 1.863493 0.274385
 4900.000000 1.285270 1.839176 0.238603
 5000.000000 1.229465 1.784200 0.633055
 5100.000000 1.567557 1.876212 0.643081
 5200.000000 1.217049 1.706293 0.481772
 5300.000000 1.263660 1.640949 0.576094
 5400.000000 1.409374 1.723733 0.283865
 5500.000000 1.220069 1.736128 0.351240
 5600.000000 1.024449 1.740038 0.256337
 5700.000000 1.060063 1.784559 0.432609
 5800.000000 1.070100 1.748621 0.567127
 5900.000000 0.990663 1.649641 0.427903
 6000.000000 1.024405 1.802405 0.391468
 6100.000000 1.138266 1.751949 0.298391
 6200.000000 1.186461 1.770336 0.524768
 6300.000000 1.110757 1.745817 0.565198
 6400.000000 1.211227 1.746932 0.841079
 6500.000000 1.132046 1.714636 0.424823
 6600.000000 1.166106 1.693756 0.565989
 6700.000000 1.116899 1.794152 0.427871
 6800.000000 1.155107 1.935838 0.459819
 6900.000000 1.173781 1.874343 0.376795
 7000.000000 1.165692 1.737840 0.435806
 7100.000000 1.114987 1.823738 0.566809
 7200.000000 1.041208 1.719408 0.408735
 7300.000000 1.157507 1.768209 0.648782
 7400.000000 1.337664 1.837351 0.822175
 7500.000000 1.387174 1.802586 0.518175
 7600.000000 1.390522 1.825078 0.528042
 7700.000000 1.422076 2.028262 0.325134
 7800.000000 1.196520 1.785448 0.447699
 7900.000000 1.226785 1.993810 0.431832
 8000.000000 1.084450 1.767014 0.415575
 8100.000000 0.988803 1.749454 0.155021
 8200.000000 1.102554 1.729142 0.425444
 8300.000000 1.094645 1.782517 0.668686
 8400.000000 1.163592 1.739054 0.654714
 8500.000000 1.391185 1.827123 0.628875
 8600.000000 1.373884 1.770198 0.665648
 8700.000000 1.388675 1.712443 0.803182
 8800.000000 1.163590 1.928511 0.461645
 8900.000000 1.072162 1.820245 0.211878
 9000.000000 1.069485 1.662109 0.254311
 9100.000000 1.115205 1.687421 0.183229
 9200.000000 1.215085 1.710425 0.164465
 9300.000000 1.154208 1.654699 0.437292
 9400.000000 1.129956 1.680669 0.510693
 9500.000000 1.237354 1.859886 0.209466
 9600.000000 1.110477 1.851450 0.411608
 9700.000000 0.982417 1.879107 0.464577
 9800.000000 0.943162 1.733534 0.602025
 9900.000000 1.014690 1.702472 0.709097
 10000.000000 1.104582 1.792512 0.624753
 10100.000000 1.042577 1.723527 0.674789
 10200.000000 1.038713 1.657990 0.788099
 10300.000000 1.018170 1.747195 0.602614
 10400.000000 1.089370 1.757753 0.605418
 10500.000000 1.057259 1.844306 0.861442
 10600.000000 1.147920 1.847898 0.556444
 10700.000000 1.089403 1.564364 0.451504
 10800.000000 1.062074 1.715352 0.608896
 10900.000000 0.960512 1.695785 0.516303
 11000.000000 1.026799 1.819631 0.637327
 11100.000000 1.064789 1.779601 0.668911
 11200.000000 1.165524 1.619024 0.733256
 11300.000000 1.131434 1.715905 0.753126
 11400.000000 1.125911 1.820416 0.581478
 11500.000000 1.024889 1.665419 0.650872
 11600.000000 0.953412 1.661693 0.726190
 11700.000000 1.127797 1.769055 0.818785
 11800.000000 0.933139 1.651453 0.447961
 11900.000000 1.059710 1.765808 0.361648
 12000.000000 1.062916 1.778689 0.221029
 12100.000000 1.080249 1.860770 0.245515
 12200.000000 1.049523 1.783185 0.286256
 12300.000000 1.084959 1.786071 0.312647
 12400.000000 0.989499 1.612099 0.447388
 12500.000000 1.047774 1.756775 0.311089
 12600.000000 1.024952 1.723713 0.456746
 12700.000000 0.939365 1.834966 0.355070
 12800.000000 0.903426 1.704899 0.551668
 12900.000000 0.965130 1.800264 0.311397
 13000.000000 1.036583 1.805341 0.311974
 13100.000000 0.927634 1.720167 0.322983
 13200.000000 0.995261 1.739527 0.331622
 13300.000000 1.161995 1.843502 0.404545
 13400.000000 0.956113 1.802852 0.297133
 13500.000000 1.014307 1.833504 0.524302
 13600.000000 0.924776 1.616937 0.299995
 13700.000000 0.968261 1.601858 0.326632
 13800.000000 0.853797 1.553629 0.271907
 13900.000000 1.012286 1.828746 0.278537
 14000.000000 0.874143 1.603222 0.358325
 14100.000000 0.886804 1.564090 0.421242
 14200.000000 0.947491 1.606521 0.249985
 14300.000000 0.985877 1.636561 0.347463
 14400.000000 0.870274 1.550207 0.355781
 14500.000000 0.916050 1.658410 0.157809
 14600.000000 0.973076 1.683934 0.254231
 14700.000000 0.900414 1.651375 0.393805
 14800.000000 1.045819 1.615571 0.219516
 14900.000000 0.809885 1.690147 0.214421
 15000.000000 0.943548 1.649781 0.378804
 15100.000000 0.934285 1.746045 0.363097
 15200.000000 0.923699 1.823609 0.338369
 15300.000000 0.985325 1.683477 0.491256
 15400.000000 1.008546 1.692519 0.457626
 15500.000000 1.018247 1.677690 0.389300
 15600.000000 0.925242 1.699731 0.255526
 15700.000000 0.914423 1.817662 0.247626
 15800.000000 1.034110 1.755800 0.526561
 15900.000000 0.987772 1.724540 0.312220
 16000.000000 0.985390 1.691562 0.369063
 16100.000000 1.093652 1.633782 0.400613
 16200.000000 1.008656 1.680392 0.375375
 16300.000000 1.001145 1.721665 0.480532
 16400.000000 1.066387 1.765832 0.347271
 16500.000000 0.975338 1.521517 0.321576
 16600.000000 0.987950 1.762344 0.306285
 16700.000000 1.065841 1.700282 0.344563
 16800.000000 0.925125 1.774839 0.210352
 16900.000000 0.949922 1.701816 0.284263
 17000.000000 1.046761 1.885897 0.364151
 17100.000000 1.092185 1.908864 0.522472
 17200.000000 0.907914 1.798234 0.331632
 17300.000000 1.018658 1.819143 0.330015
 17400.000000 1.044692 1.802779 0.309062
 17500.000000 1.015485 1.772173 0.243446
 17600.000000 1.055747 1.725706 0.247549
 17700.000000 1.107244 1.876785 0.240207
 17800.000000 0.985699 1.694371 0.233397
 17900.000000 1.070647 1.649912 0.296658
 18000.000000 1.153801 1.637412 0.506955
 18100.000000 1.096951 1.690365 0.491716
 18200.000000 1.120048 1.618991 0.420735
 18300.000000 1.068559 1.673666 0.504911
 18400.000000 1.037181 1.631532 0.486874
 18500.000000 0.980678 1.811905 0.144558
 18600.000000 0.912286 1.714801 0.288945
 18700.000000 1.000078 1.599501 0.233770
 18800.000000 1.047965 1.743854 0.196052
 18900.000000 0.848610 1.745270 0.108030
 19000.000000 1.073723 1.812074 0.176382
 19100.000000 1.059808 1.800865 0.188050
 19200.000000 0.949129 1.660634 0.333998
 19300.000000 0.991384 1.706577 0.337587
 19400.000000 1.118001 1.712612 0.356513
 19500.000000 1.000776 1.650649 0.282153
 19600.000000 1.160695 1.667602 0.291036
 19700.000000 1.200840 1.579787 0.289054
 19800.000000 0.990878 1.570726 0.326831
 19900.000000 0.999036 1.632940 0.496800
 20000.000000 0.978124 1.679216 0.409566
 20100.000000 1.038716 1.563670 0.498171
 20200.000000 1.020530 1.632648 0.351389
 20300.000000 1.022751 1.667152 0.192264
 20400.000000 0.910490 1.381472 0.380698
 20500.000000 0.920775 1.640067 0.783363
 20600.000000 0.961836 1.652159 0.453325
 20700.000000 0.893232 1.559268 0.535193
 20800.000000 0.890061 1.465948 0.429181
 20900.000000 0.885790 1.602407 0.379529
 21000.000000 0.920120 1.585054 0.288301
 21100.000000 1.119426 1.615618 0.874808
 21200.000000 1.318729 1.480584 0.656533
 21300.000000 1.233123 1.578319 0.928064
 21400.000000 1.356164 1.640310 0.612433
 21500.000000 1.116694 1.555626 0.548558
 21600.000000 1.130094 1.537044 0.734262
 21700.000000 0.987620 1.557865 0.636799
 21800.000000 1.186196 1.637062 0.422715
 21900.000000 1.141777 1.574916 0.565442
 22000.000000 1.238282 1.632553 0.499235
 22100.000000 1.199377 1.749258 0.705337
 22200.000000 1.250171 1.680653 0.818450
 22300.000000 1.198325 1.613084 0.802248
 22400.000000 1.177729 1.838721 0.589678
 22500.000000 1.126042 1.525315 0.663506
 22600.000000 1.043906 1.485259 0.775724
 22700.000000 1.189160 1.660612 0.844371
