#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 0.000000 1.230720 1.458437 0.509093
 100.000000 1.141728 1.373304 0.658629
 200.000000 1.242401 1.533074 0.389739
 300.000000 1.273072 1.522043 0.525199
 400.000000 1.261934 1.498577 0.531264
 500.000000 1.232463 1.592508 0.667953
 600.000000 1.190320 1.555504 0.611910
 700.000000 1.266770 1.495117 0.594811
 800.000000 1.363027 1.710728 0.787016
 900.000000 1.330240 1.615803 0.700892
 1000.000000 1.298789 1.628096 0.642089
 1100.000000 1.204731 1.561756 0.410863
 1200.000000 1.225846 1.491533 0.480927
 1300.000000 1.277654 1.569520 0.520090
 1400.000000 1.259878 1.599070 0.576429
 1500.000000 1.199922 1.656682 0.511493
 1600.000000 1.252156 1.627041 0.624455
 1700.000000 1.321358 1.672361 0.764428
 1800.000000 1.258014 1.602478 0.546790
 1900.000000 1.259928 1.520058 0.562353
 2000.000000 1.259709 1.681741 0.608791
 2100.000000 1.209448 1.595746 0.531401
 2200.000000 1.219409 1.617922 0.523309
 2300.000000 1.194584 1.483825 0.212048
 2400.000000 1.322460 1.654045 0.446220
 2500.000000 1.173813 1.461229 0.242911
 2600.000000 1.144652 1.470775 0.386676
 2700.000000 1.268451 1.458375 0.383852
 2800.000000 1.209869 1.281346 0.310955
 2900.000000 1.305328 1.527049 0.430349
 3000.000000 1.124558 1.519276 0.413085
 3100.000000 1.284441 1.580820 0.371369
 3200.000000 1.223219 1.455452 0.294277
 3300.000000 1.172057 1.540705 0.453176
 3400.000000 1.199264 1.378392 0.353634
 3500.000000 1.189503 1.481017 0.363198
 3600.000000 1.215934 1.564641 0.370448
 3700.000000 1.262663 1.648884 0.337402
 3800.000000 1.305020 1.644352 0.321603
 3900.000000 1.294042 1.719946 0.490476
 4000.000000 1.215516 1.639728 0.626348
 4100.000000 1.275908 1.560468 0.723415
 4200.000000 1.271192 1.659907 0.637413
 4300.000000 1.307609 1.672983 0.646280
 4400.000000 1.303932 1.523980 0.550929
 4500.000000 1.229945 1.666141 0.591657
 4600.000000 1.293513 1.548236 0.489948
 4700.000000 1.280213 1.518965 0.566152
 4800.000000 1.262018 1.528535 0.448831
 4900.000000 1.248864 1.549443 0.660338
 5000.000000 1.286218 1.601809 0.556287
 5100.000000 1.182708 1.624203 0.403179
 5200.000000 1.260295 1.513397 0.544381
 5300.000000 1.172577 1.407297 0.407305
 5400.000000 1.313051 1.516141 0.644614
 5500.000000 1.193130 1.721295 0.606505
 5600.000000 1.251180 1.646983 0.614591
 5700.000000 1.256627 1.692372 0.620930
 5800.000000 1.296161 1.686826 0.635466
 5900.000000 1.276579 1.471419 0.481472
 6000.000000 1.236544 1.525448 0.555056
 6100.000000 1.293668 1.606883 0.518761
 6200.000000 1.341809 1.618111 0.639490
 6300.000000 1.293013 1.611345 0.577504
 6400.000000 1.251437 1.498306 0.590722
 6500.000000 1.255154 1.494122 0.606734
 6600.000000 1.321870 1.609643 0.579338
 6700.000000 1.241231 1.573060 0.526936
 6800.000000 1.319685 1.647089 0.524535
 6900.000000 1.262525 1.599149 0.381814
 7000.000000 1.267154 1.537697 0.522697
 7100.000000 1.225333 1.505195 0.482076
 7200.000000 1.292063 1.534723 0.552340
 7300.000000 1.290103 1.581478 0.557512
 7400.000000 1.261077 1.533354 0.505838
 7500.000000 1.241619 1.614310 0.599654
 7600.000000 1.136017 1.534967 0.402067
 7700.000000 1.352233 1.610328 0.570729
 7800.000000 1.274278 1.566778 0.454607
 7900.000000 1.300006 1.548504 0.543912
 8000.000000 1.314310 1.638114 0.723095
 8100.000000 1.297101 1.660068 0.676114
 8200.000000 1.301535 1.687320 0.619236
 8300.000000 1.371747 1.719690 0.704083
 8400.000000 1.273544 1.648509 0.606020
 8500.000000 1.308832 1.618424 0.525955
 8600.000000 1.240773 1.524312 0.409466
 8700.000000 1.310370 1.692106 0.572927
 8800.000000 1.162800 1.452446 0.448731
 8900.000000 1.252757 1.585732 0.507264
 9000.000000 1.220772 1.636223 0.639356
 9100.000000 1.307030 1.568588 0.511424
 9200.000000 1.161755 1.546559 0.499813
 9300.000000 1.195361 1.558445 0.502623
 9400.000000 1.219455 1.614422 0.629507
 9500.000000 1.295391 1.674995 0.699125
 9600.000000 1.211162 1.541227 0.404311
 9700.000000 1.159036 1.432052 0.571109
 9800.000000 1.245194 1.539603 0.567614
 9900.000000 1.238111 1.653370 0.609674
 10000.000000 1.427127 1.624989 0.613471
 10100.000000 1.371346 1.523495 0.632988
 10200.000000 1.307481 1.483588 0.556420
 10300.000000 1.255263 1.497173 0.726925
 10400.000000 1.252017 1.553564 0.490316
 10500.000000 1.209862 1.556587 0.537001
 10600.000000 1.324842 1.478834 0.445421
 10700.000000 1.261792 1.483312 0.532266
 10800.000000 1.407052 1.567755 0.553016
 10900.000000 1.387430 1.552966 0.664299
 11000.000000 1.370644 1.538080 0.608924
 11100.000000 1.314779 1.553188 0.369219
 11200.000000 1.508696 1.591808 0.500829
 11300.000000 1.525749 1.706815 0.494627
 11400.000000 1.495698 1.738437 0.576980
 11500.000000 1.398369 1.612343 0.419293
 11600.000000 1.507038 1.691477 0.528081
 11700.000000 1.429905 1.641532 0.534385
 11800.000000 1.492015 1.670711 0.402780
 11900.000000 1.306008 1.569991 0.549678
 12000.000000 1.351905 1.471149 0.456299
 12100.000000 1.387357 1.674449 0.513740
 12200.000000 1.373427 1.576379 0.549611
 12300.000000 1.404808 1.648250 0.638666
 12400.000000 1.257246 1.592001 0.566267
 12500.000000 1.351289 1.484539 0.658176
 12600.000000 1.267564 1.543274 0.593038
 12700.000000 1.332521 1.488233 0.647520
 12800.000000 1.264368 1.520725 0.475125
 12900.000000 1.303358 1.425957 0.583495
 13000.000000 1.257984 1.482571 0.512067
 13100.000000 1.287524 1.489609 0.503555
 13200.000000 1.308735 1.587935 0.559919
 13300.000000 1.409009 1.560606 0.630817
 13400.000000 1.370221 1.551617 0.550394
 13500.000000 1.346212 1.580034 0.530803
 13600.000000 1.369411 1.540279 0.436873
 13700.000000 1.201334 1.523973 0.742052
 13800.000000 1.325144 1.547790 0.634867
 13900.000000 1.347195 1.526350 0.581056
 14000.000000 1.268637 1.544586 0.590077
 14100.000000 1.322233 1.523800 0.494531
 14200.000000 1.366732 1.690141 0.661080
 14300.000000 1.274735 1.443798 0.453016
 14400.000000 1.308098 1.482547 0.604766
 14500.000000 1.256171 1.444882 0.721835
 14600.000000 1.366719 1.559085 0.650735
 14700.000000 1.337098 1.519283 0.711931
 14800.000000 1.337777 1.596647 0.607683
 14900.000000 1.370818 1.667319 0.666500
 15000.000000 1.267527 1.622416 0.671144
 15100.000000 1.293863 1.611628 0.681225
 15200.000000 1.303881 1.578780 0.723233
 15300.000000 1.340858 1.450740 0.559252
 15400.000000 1.221087 1.471906 0.525067
 15500.000000 1.242769 1.557418 0.572383
 15600.000000 1.268926 1.504126 0.719335
 15700.000000 1.296996 1.538600 0.448183
 15800.000000 1.282029 1.475021 0.540676
 15900.000000 1.281507 1.545143 0.598276
 16000.000000 1.307278 1.546884 0.581153
 16100.000000 1.269991 1.536699 0.479553
 16200.000000 1.246125 1.374933 0.561556
 16300.000000 1.275488 1.587083 0.496768
 16400.000000 1.291474 1.571219 0.629292
 16500.000000 1.333661 1.620093 0.571812
 16600.000000 1.341199 1.613717 0.489795
 16700.000000 1.247097 1.535155 0.398433
 16800.000000 1.337321 1.443254 0.454924
 16900.000000 1.249337 1.489940 0.534106
 17000.000000 1.325484 1.621866 0.477481
 17100.000000 1.384336 1.580110 0.621014
 17200.000000 1.349331 1.566129 0.457377
 17300.000000 1.339659 1.497719 0.524983
 17400.000000 1.297901 1.443444 0.586771
 17500.000000 1.281435 1.478911 0.565196
 17600.000000 1.226286 1.448256 0.557985
