#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 0.000000 1.299386 1.406288 0.816575
 100.000000 1.276933 1.476777 0.638363
 200.000000 1.424772 1.832708 0.607369
 300.000000 1.335718 1.606257 0.730097
 400.000000 1.337552 1.616172 0.600864
 500.000000 1.280134 1.547716 0.701113
 600.000000 1.222684 1.553131 0.511298
 700.000000 1.180029 1.536718 0.672495
 800.000000 1.242937 1.708274 0.705716
 900.000000 1.445863 1.760498 0.811837
 1000.000000 1.384289 1.766527 0.785311
 1100.000000 1.313936 1.616432 0.789227
 1200.000000 1.298133 1.696204 0.728913
 1300.000000 1.231073 1.639457 0.588529
 1400.000000 1.166440 1.511142 0.528036
 1500.000000 1.463706 1.665326 0.709791
 1600.000000 1.215019 1.584384 0.695353
 1700.000000 1.298386 1.638466 0.778903
 1800.000000 1.280053 1.577485 0.453066
 1900.000000 1.377424 1.683686 0.668212
 2000.000000 1.311928 1.587262 0.762091
 2100.000000 1.240271 1.502873 0.630289
 2200.000000 1.297647 1.633905 0.713517
 2300.000000 1.331819 1.576702 0.476064
 2400.000000 1.285682 1.629743 0.506685
 2500.000000 1.111667 1.456104 0.624716
 2600.000000 1.246843 1.628454 0.555393
 2700.000000 1.105544 1.668998 0.701087
 2800.000000 1.159711 1.670609 0.421828
 2900.000000 1.295899 1.594161 0.832142
 3000.000000 1.344051 1.687257 0.586119
 3100.000000 1.088966 1.345908 0.798759
 3200.000000 0.940314 1.184703 0.404218
 3300.000000 0.949149 1.267057 0.511188
 3400.000000 1.137151 1.336501 0.468721
 3500.000000 1.066590 1.178526 0.386430
 3600.000000 1.091557 1.265953 0.386931
 3700.000000 1.072644 1.244225 0.457446
 3800.000000 1.115928 1.325870 0.559225
 3900.000000 1.013196 1.224326 0.222072
 4000.000000 0.975879 1.396637 0.448597
 4100.000000 1.007135 1.250202 0.607801
 4200.000000 0.968088 1.363282 0.472487
 4300.000000 0.914851 1.190093 0.385333
 4400.000000 1.106719 1.377432 0.418802
 4500.000000 0.979605 1.608647 0.385543
 4600.000000 1.076057 1.681110 0.494329
 4700.000000 0.931400 1.645727 0.583172
 4800.000000 1.084451 1.457415 0.616875
 4900.000000 1.158279 1.612443 0.531584
 5000.000000 1.197814 1.793425 0.562937
 5100.000000 1.082391 1.727766 0.462729
 5200.000000 1.174799 1.933154 0.440349
 5300.000000 1.211014 1.812130 0.596292
 5400.000000 1.148434 1.650802 0.491137
 5500.000000 1.223961 1.830766 0.559830
 5600.000000 1.188659 1.698435 0.401141
 5700.000000 1.087038 1.684425 0.244143
 5800.000000 1.150004 1.678780 0.392648
 5900.000000 1.093789 1.593707 0.428050
 6000.000000 1.145081 1.829143 0.342371
 6100.000000 1.206113 1.721312 0.428159
 6200.000000 1.191409 1.727032 0.401976
 6300.000000 1.184982 1.574113 0.492940
 6400.000000 1.187435 1.665726 0.453364
 6500.000000 1.146984 1.656926 0.505328
 6600.000000 1.273714 1.626495 0.511427
 6700.000000 1.120828 1.671342 0.592697
 6800.000000 1.071677 1.568639 0.547407
 6900.000000 1.151325 1.639702 0.436177
 7000.000000 1.177377 1.589284 0.335016
 7100.000000 1.099439 1.536302 0.460020
 7200.000000 1.147697 1.706130 0.321407
 7300.000000 1.299312 1.549471 0.523644
 7400.000000 1.169243 1.640280 0.463658
 7500.000000 1.388125 1.497511 0.462747
 7600.000000 1.280565 1.617580 0.393385
 7700.000000 1.414327 1.624254 0.374896
 7800.000000 1.227482 1.562683 0.418398
 7900.000000 1.339167 1.638096 0.424066
 8000.000000 1.263873 1.570008 0.299671
 8100.000000 1.293229 1.639535 0.390880
 8200.000000 1.269472 1.612347 0.342510
 8300.000000 1.172111 1.469115 0.210591
 8400.000000 1.052233 1.430841 0.510938
 8500.000000 1.000329 1.441455 0.632441
 8600.000000 1.133378 1.460174 0.715498
 8700.000000 1.068442 1.536646 0.790437
 8800.000000 1.072351 1.576358 0.469596
 8900.000000 1.100049 1.574414 0.564851
 9000.000000 1.181262 1.609926 0.685877
 9100.000000 1.144438 1.468122 0.487590
 9200.000000 1.168029 1.563311 0.432713
 9300.000000 1.172919 1.639455 0.314634
 9400.000000 1.218847 1.465104 0.406943
 9500.000000 1.237117 1.584634 0.409981
 9600.000000 1.276271 1.426894 0.345436
 9700.000000 1.335328 1.544177 0.472427
 9800.000000 1.306386 1.420106 0.376805
 9900.000000 1.212082 1.422715 0.337043
 10000.000000 1.132510 1.468776 0.501272
 10100.000000 1.242873 1.614445 0.476786
 10200.000000 1.573191 1.918378 0.581805
 10300.000000 1.417783 1.907190 0.512994
 10400.000000 1.299586 1.757794 0.558383
 10500.000000 1.291599 1.889157 0.371113
 10600.000000 1.408248 1.931632 0.162864
 10700.000000 1.327565 1.865443 0.419750
 10800.000000 1.407486 2.007372 0.255720
 10900.000000 1.394749 1.792977 0.431324
 11000.000000 1.308683 1.823365 0.187545
 11100.000000 1.405431 1.671913 0.254398
 11200.000000 1.396024 1.751844 0.289760
 11300.000000 1.326153 1.722528 0.236168
 11400.000000 1.355650 1.673361 0.384492
 11500.000000 1.371527 1.667448 0.384759
 11600.000000 1.428651 1.717228 0.479063
 11700.000000 1.349177 1.561716 0.336282
 11800.000000 1.354469 1.712629 0.382915
 11900.000000 1.447140 1.710227 0.437958
 12000.000000 1.353836 1.454909 0.566499
 12100.000000 1.417105 1.627683 0.418467
 12200.000000 1.442257 1.593450 0.519156
 12300.000000 1.435911 1.594092 0.413361
 12400.000000 1.436077 1.511420 0.424330
 12500.000000 1.372631 1.494244 0.327613
 12600.000000 1.362512 1.456986 0.423198
 12700.000000 1.426609 1.483511 0.349691
 12800.000000 1.378769 1.736974 0.252193
 12900.000000 1.458385 1.502212 0.303070
 13000.000000 1.471938 1.583018 0.314052
 13100.000000 1.446502 1.608384 0.403433
 13200.000000 1.219977 1.396859 0.429332
 13300.000000 1.248974 1.312436 0.371223
 13400.000000 1.213778 1.240775 0.395785
 13500.000000 1.187757 1.131991 0.243845
 13600.000000 1.279838 1.307091 0.380520
 13700.000000 1.234496 1.346482 0.381577
 13800.000000 1.310613 1.425753 0.316630
 13900.000000 1.282720 1.326006 0.255260
 14000.000000 1.292595 1.415183 0.305692
 14100.000000 1.295156 1.275083 0.271163
 14200.000000 1.205291 1.348014 0.230993
 14300.000000 1.268074 1.483206 0.336450
 14400.000000 1.228284 1.156956 0.288184
 14500.000000 1.229838 1.223763 0.421299
 14600.000000 1.346490 1.379982 0.439750
 14700.000000 1.314858 1.419341 0.231336
 14800.000000 1.296615 1.420016 0.263876
 14900.000000 1.242737 1.261894 0.198404
 15000.000000 1.242420 1.287124 0.202016
 15100.000000 1.237414 1.116336 0.423133
 15200.000000 1.263627 1.493039 0.443845
 15300.000000 1.123546 1.399318 0.483419
 15400.000000 1.220524 1.272276 0.134202
 15500.000000 1.282306 1.300310 0.235682
 15600.000000 1.208444 1.309387 0.422989
 15700.000000 1.236774 1.411929 0.274001
 15800.000000 1.315046 1.351543 0.473217
 15900.000000 1.247178 1.369416 0.368339
 16000.000000 1.270340 1.300292 0.357632
 16100.000000 1.326161 1.160513 0.170997
 16200.000000 1.315097 1.395771 0.322294
 16300.000000 1.323486 1.366940 0.212863
 16400.000000 1.335029 1.345546 0.186653
 16500.000000 1.347495 1.420683 0.292213
 16600.000000 1.300171 1.303387 0.250687
 16700.000000 1.195246 1.398027 0.391829
 16800.000000 1.225123 1.317730 0.386375
 16900.000000 1.196004 1.322907 0.224266
 17000.000000 1.146471 1.250944 0.323548
 17100.000000 1.285163 1.343034 0.331969
 17200.000000 1.318108 1.498071 0.401435
 17300.000000 1.283590 1.254545 0.269669
 17400.000000 1.359777 1.359966 0.315933
 17500.000000 1.334899 1.323646 0.195931
 17600.000000 1.315891 1.212434 0.440414
 17700.000000 1.356942 1.350579 0.394566
 17800.000000 1.277088 1.317202 0.174307
 17900.000000 1.213752 1.336541 0.310015
 18000.000000 1.276068 1.374529 0.167024
 18100.000000 1.245430 1.408144 0.300390
 18200.000000 1.267460 1.415553 0.373124
 18300.000000 1.323679 1.680880 0.288180
 18400.000000 1.411087 1.597773 0.478257
 18500.000000 1.122238 1.301148 0.402001
 18600.000000 1.277344 1.470327 0.253228
 18700.000000 1.254154 1.424175 0.062458
 18800.000000 1.329799 1.485126 0.269872
 18900.000000 1.256665 1.437579 0.394518
 19000.000000 1.283428 1.423751 0.422047
 19100.000000 1.335924 1.438265 0.329230
 19200.000000 1.155306 1.482672 0.265541
 19300.000000 1.360993 1.509298 0.316424
 19400.000000 1.233566 1.429196 0.256445
 19500.000000 1.191341 1.390842 0.229434
 19600.000000 1.273373 1.382204 0.211987
 19700.000000 1.318461 1.436927 0.132870
 19800.000000 1.179431 1.397149 0.191092
 19900.000000 1.217274 1.531975 0.171319
 20000.000000 1.313945 1.479483 0.160480
 20100.000000 1.200848 1.412124 0.066019
 20200.000000 1.209768 1.421154 0.033508
 20300.000000 1.334956 1.563680 -0.008848
 20400.000000 1.259334 1.437632 0.046948
 20500.000000 1.266892 1.484230 0.111025
 20600.000000 1.272633 1.513663 0.139679
 20700.000000 1.227858 1.396810 0.246373
 20800.000000 1.265443 1.482250 0.145585
 20900.000000 1.287123 1.530915 0.148789
 21000.000000 1.286770 1.426273 0.116034
 21100.000000 1.283984 1.500578 0.188721
 21200.000000 1.337721 1.603594 0.260657
 21300.000000 1.137719 1.561482 0.036416
 21400.000000 0.965903 1.521040 0.361779
 21500.000000 1.065842 1.441148 0.222849
 21600.000000 1.031370 1.431960 0.247336
 21700.000000 1.003232 1.353277 0.231685
 21800.000000 1.229025 1.758727 0.276048
 21900.000000 1.120527 1.417642 0.264643
 22000.000000 1.068885 1.398409 0.199485
 22100.000000 1.133733 1.469577 0.199891
 22200.000000 1.083171 1.498536 0.333118
 22300.000000 1.002849 1.436545 0.304365
 22400.000000 1.187075 1.582665 0.083994
 22500.000000 1.052443 1.499520 0.167740
 22600.000000 1.185858 1.595945 0.210412
 22700.000000 1.215584 1.534846 0.278718
 22800.000000 1.154791 1.648556 0.266099
 22900.000000 1.049806 1.386874 0.184160
 23000.000000 1.196999 1.386239 0.166716
 23100.000000 1.062881 1.381728 0.051003
 23200.000000 1.119027 1.557272 0.119315
 23300.000000 1.127220 1.547737 0.299144
 23400.000000 1.079388 1.432147 0.141684
 23500.000000 1.145506 1.607437 0.215447
 23600.000000 1.008982 1.376136 0.150469
 23700.000000 0.987029 1.260883 0.203877
 23800.000000 1.100922 1.523207 0.123198
 23900.000000 1.013172 1.532060 0.246868
 24000.000000 1.093591 1.393017 0.131553
 24100.000000 1.011744 1.482229 0.096729
 24200.000000 1.367371 1.596035 0.305474
 24300.000000 1.377674 1.561008 0.266470
 24400.000000 1.345479 1.736492 0.219390
 24500.000000 1.322711 1.577342 0.234952
 24600.000000 1.331472 1.387560 0.127154
 24700.000000 1.319614 1.585849 0.220653
 24800.000000 1.204164 1.590053 -0.001679
 24900.000000 1.261937 1.462983 0.291455
 25000.000000 1.206996 1.409844 0.148599
 25100.000000 1.269978 1.454925 0.151314
 25200.000000 1.356645 1.489487 0.079700
 25300.000000 1.268220 1.486896 0.110777
 25400.000000 1.367803 1.499491 0.078405
 25500.000000 1.278669 1.429512 0.148850
 25600.000000 1.298919 1.481118 0.197688
 25700.000000 1.213364 1.420368 0.090763
 25800.000000 1.181108 1.341656 0.071897
 25900.000000 1.193912 1.448205 0.281263
 26000.000000 1.130700 1.270084 0.167637
 26100.000000 1.121815 1.284231 0.209571
 26200.000000 1.242681 1.506397 0.282013
 26300.000000 1.261846 1.274291 0.156559
 26400.000000 1.211394 1.500602 0.375444
 26500.000000 1.258782 1.401575 0.163215
 26600.000000 1.242848 1.305509 0.226330
 26700.000000 1.205366 1.314997 0.165741
 26800.000000 1.189437 1.320652 0.219178
 26900.000000 1.278443 1.309534 0.042752
 27000.000000 1.220146 1.518805 0.277007
 27100.000000 1.342035 1.580116 0.303574
 27200.000000 1.292910 1.410931 0.338115
 27300.000000 1.228382 1.382204 0.338872
 27400.000000 1.357522 1.493854 0.272424
 27500.000000 1.388606 1.445143 0.365075
 27600.000000 1.182183 1.632816 0.308765
 27700.000000 1.224800 1.275042 0.246074
 27800.000000 1.264873 1.435129 0.188775
 27900.000000 1.231909 1.517819 0.122887
 28000.000000 1.201373 1.416204 0.123639
 28100.000000 1.295044 1.451711 0.209217
 28200.000000 0.985726 1.199752 0.275897
 28300.000000 1.067409 1.233787 0.151914
 28400.000000 1.335241 1.531033 0.244679
 28500.000000 1.276097 1.502810 0.145794
 28600.000000 1.304159 1.483735 0.187431
 28700.000000 1.176621 1.461756 -0.018651
 28800.000000 1.243687 1.586819 0.296603
 28900.000000 1.332097 1.583499 0.360408
 29000.000000 1.281887 1.535731 0.288318
 29100.000000 1.193106 1.543281 0.434915
 29200.000000 1.256486 1.585163 0.311694
 29300.000000 1.271429 1.431760 0.244228
 29400.000000 1.243523 1.432184 0.173592
 29500.000000 1.224732 1.355832 0.328750
 29600.000000 1.152119 1.403181 0.197535
 29700.000000 1.370231 1.410916 0.152282
 29800.000000 1.181967 1.310744 0.241575
 29900.000000 1.249403 1.474013 0.129554
 30000.000000 1.387296 1.481078 0.129311
 30100.000000 1.262592 1.442505 0.282448
 30200.000000 1.158565 1.364341 0.210408
 30300.000000 1.305255 1.452721 0.091102
 30400.000000 1.096266 1.424187 0.146700
 30500.000000 1.156761 1.322830 0.031859
 30600.000000 1.062133 1.582147 0.130216
 30700.000000 1.090031 1.333768 0.100022
 30800.000000 1.079310 1.171622 0.214098
 30900.000000 1.019888 1.383953 0.198141
 31000.000000 1.042910 1.353515 0.185444
 31100.000000 1.090407 1.432754 0.238511
 31200.000000 1.063437 1.262504 0.195372
 31300.000000 1.261218 1.433465 0.394514
 31400.000000 1.033483 1.214432 0.193080
 31500.000000 1.144910 1.455055 0.187736
 31600.000000 1.151826 1.325590 0.192427
 31700.000000 1.150105 1.267063 0.097500
 31800.000000 1.124968 1.268947 0.111083
 31900.000000 1.116000 1.336997 0.230829
 32000.000000 1.071862 1.164758 0.164904
 32100.000000 1.147411 1.318341 0.272115
