#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 0.000000 1.181437 1.583111 0.750396
 100.000000 1.153769 1.570979 0.666443
 200.000000 1.167022 1.514305 0.722935
 300.000000 1.094565 1.399769 0.631574
 400.000000 1.192107 1.442101 0.579138
 500.000000 1.125740 1.444511 0.769087
 600.000000 1.268962 1.340721 0.661917
 700.000000 1.264013 1.386817 0.627283
 800.000000 1.180121 1.363194 0.505757
 900.000000 1.206589 1.548027 0.615277
 1000.000000 1.154270 1.495394 0.435365
 1100.000000 1.079967 1.432863 0.357135
 1200.000000 1.112934 1.428882 0.556018
 1300.000000 1.134583 1.355482 0.400883
 1400.000000 1.068444 1.365750 0.505344
 1500.000000 1.091855 1.406430 0.539324
 1600.000000 1.135061 1.297128 0.544819
 1700.000000 1.095690 1.450935 0.545892
 1800.000000 1.068333 1.375397 0.440536
 1900.000000 1.174702 1.439466 0.499253
 2000.000000 0.998269 1.518518 0.505310
 2100.000000 0.998886 1.644366 0.382917
 2200.000000 0.951923 1.456422 0.422468
 2300.000000 0.954693 1.385416 0.598503
 2400.000000 0.900138 1.611596 0.652962
 2500.000000 0.883032 1.822085 0.419543
 2600.000000 1.034975 1.671680 0.499830
 2700.000000 0.872425 1.552553 0.426353
 2800.000000 0.791505 1.525616 0.429938
 2900.000000 0.909297 1.511112 0.413037
 3000.000000 0.839562 1.580878 0.464413
 3100.000000 0.941816 1.359173 0.421926
 3200.000000 0.851165 1.473118 0.295423
 3300.000000 0.774264 1.490562 0.273102
 3400.000000 0.925096 1.598970 0.461094
 3500.000000 0.858507 1.503467 0.492951
 3600.000000 0.826852 1.423483 0.387822
 3700.000000 0.916238 1.567492 0.341389
 3800.000000 0.988304 1.166506 0.487672
 3900.000000 0.885694 1.311548 0.546755
 4000.000000 0.915147 1.497385 0.460686
 4100.000000 0.919264 1.459006 0.415026
 4200.000000 0.862615 1.554696 0.409623
 4300.000000 0.866100 1.320584 0.459059
 4400.000000 0.937128 1.558563 0.401266
 4500.000000 0.891165 1.527788 0.485561
 4600.000000 0.909206 1.536721 0.443179
 4700.000000 0.925106 1.514531 0.481923
 4800.000000 0.915545 1.414883 0.454204
 4900.000000 0.808136 1.422148 0.452313
 5000.000000 0.896744 1.416832 0.461871
 5100.000000 0.919990 1.384429 0.462505
 5200.000000 0.853859 1.267477 0.246546
 5300.000000 0.917418 1.474838 0.402639
 5400.000000 0.854663 1.164732 0.146334
 5500.000000 1.032197 1.505037 0.346095
 5600.000000 1.107002 1.780778 0.448141
 5700.000000 1.109204 1.410335 0.440110
 5800.000000 0.994762 1.283265 0.381281
 5900.000000 1.066858 1.431141 0.483455
 6000.000000 1.068321 1.359655 0.449503
 6100.000000 1.091846 1.355925 0.458898
 6200.000000 1.154349 1.594624 0.527626
 6300.000000 1.128034 1.417201 0.570211
 6400.000000 1.198798 1.547581 0.590429
 6500.000000 1.037562 1.340990 0.355459
 6600.000000 1.130677 1.353527 0.621972
 6700.000000 1.198395 1.522010 0.654763
 6800.000000 1.124892 1.538622 0.496979
 6900.000000 1.075800 1.535793 0.596105
 7000.000000 1.192458 1.485185 0.428621
 7100.000000 1.114059 1.284476 0.343509
 7200.000000 1.197590 1.508554 0.519740
 7300.000000 1.011506 1.425105 0.360943
 7400.000000 1.065174 1.388683 0.578895
 7500.000000 1.064563 1.595941 0.643365
 7600.000000 1.151285 1.439906 0.560545
 7700.000000 1.092236 1.549895 0.720521
 7800.000000 1.113235 1.537622 0.515753
 7900.000000 1.147431 1.513602 0.751953
 8000.000000 1.043221 1.152404 0.159253
 8100.000000 0.939466 1.274640 0.106987
 8200.000000 0.996658 1.300766 0.273392
 8300.000000 1.018045 1.376430 0.376431
 8400.000000 0.938852 1.319202 0.293266
 8500.000000 1.028614 1.369742 0.419778
 8600.000000 1.066688 1.350769 0.276672
 8700.000000 1.125755 1.301817 0.431156
 8800.000000 0.990482 1.314833 0.371414
 8900.000000 1.067161 1.266422 0.341833
 9000.000000 1.138477 1.165055 0.341919
 9100.000000 1.086558 1.232869 0.209319
 9200.000000 1.078235 1.239029 0.143527
 9300.000000 1.141625 1.367341 0.172494
 9400.000000 1.043393 1.396617 0.404608
 9500.000000 1.160605 1.514942 0.502883
 9600.000000 1.040908 1.483721 0.412732
 9700.000000 1.056608 1.428231 0.560926
 9800.000000 1.100703 1.441588 0.486866
 9900.000000 1.144204 1.515726 0.614558
 10000.000000 1.112879 1.314027 0.513635
 10100.000000 1.170542 1.336899 0.413201
 10200.000000 1.226996 1.479969 0.525428
 10300.000000 1.265426 1.463255 0.517003
 10400.000000 1.222497 1.459772 0.362879
 10500.000000 1.145031 1.323294 0.447207
 10600.000000 1.172568 1.459100 0.553267
 10700.000000 1.165702 1.324638 0.386687
 10800.000000 1.161632 1.453210 0.406052
 10900.000000 1.044692 1.234791 0.435103
 11000.000000 1.203500 1.397830 0.419644
 11100.000000 1.205951 1.481436 0.406127
 11200.000000 1.174022 1.414656 0.416752
 11300.000000 1.148897 1.425025 0.538782
 11400.000000 1.267668 1.536888 0.442728
 11500.000000 1.176982 1.489516 0.240702
 11600.000000 1.192078 1.380953 0.348794
 11700.000000 0.981162 1.230914 0.516612
 11800.000000 1.003319 1.345109 0.398982
 11900.000000 1.116288 1.310552 0.466335
 12000.000000 1.120999 1.330306 0.371068
 12100.000000 1.092268 1.430581 0.340757
 12200.000000 1.116504 1.461275 0.480065
 12300.000000 1.064254 1.517644 0.426459
 12400.000000 1.200823 1.616860 0.554865
 12500.000000 1.013489 1.418153 0.372765
 12600.000000 1.092584 1.529315 0.342230
 12700.000000 0.952896 1.563993 0.473655
 12800.000000 0.954428 1.559474 0.426229
 12900.000000 1.059932 1.449588 0.284601
 13000.000000 1.021606 1.539636 0.421636
 13100.000000 1.122738 1.566266 0.461691
 13200.000000 1.236761 1.575453 0.478564
 13300.000000 0.912269 1.599625 0.219237
 13400.000000 0.793016 1.129403 -0.014325
 13500.000000 0.926273 1.427424 0.316130
 13600.000000 0.938898 1.387997 0.245264
 13700.000000 0.960566 1.502267 0.134710
 13800.000000 1.043388 1.378112 0.077441
 13900.000000 1.225067 1.818428 0.458789
 14000.000000 1.036239 1.616767 0.268945
 14100.000000 1.344745 1.811851 0.226462
 14200.000000 1.278083 1.921278 0.278358
 14300.000000 0.964833 1.871950 0.349769
 14400.000000 1.302565 2.157414 0.500615
 14500.000000 1.157481 1.797685 0.534436
 14600.000000 1.275881 1.785888 0.389292
 14700.000000 1.096916 1.581743 0.453360
 14800.000000 1.115785 1.449367 0.338914
 14900.000000 1.061856 1.866228 0.334660
 15000.000000 0.732353 1.594144 0.324979
 15100.000000 0.649937 1.502405 0.313681
 15200.000000 0.656613 1.608989 0.294220
 15300.000000 0.932992 1.514639 0.286561
