#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 0.000000 1.332341 -1.485345 -2.411353
 100.000000 1.241527 -1.763316 -2.583432
 200.000000 1.194968 -1.599722 -2.570783
 300.000000 1.187584 -1.471635 -2.698210
 400.000000 1.281614 -1.654301 -2.717477
 500.000000 1.220877 -1.824759 -2.711852
 600.000000 1.272393 -1.789191 -2.819556
 700.000000 1.198544 -1.775177 -2.858986
 800.000000 1.267927 -1.697225 -2.938974
 900.000000 1.251993 -1.723088 -2.901068
 1000.000000 1.206019 -1.618616 -2.753024
 1100.000000 1.252236 -1.596726 -2.591132
 1200.000000 1.270526 -1.609047 -2.853528
 1300.000000 1.312791 -1.576177 -2.833904
 1400.000000 1.060318 -1.910244 -2.916111
 1500.000000 1.264158 -1.945895 -2.865014
 1600.000000 1.113630 -1.905522 -3.010709
 1700.000000 1.162988 -1.901228 -2.846397
 1800.000000 1.268784 -1.730326 -2.851061
 1900.000000 1.264641 -1.963127 -2.871529
 2000.000000 1.293544 -1.860614 -2.820678
 2100.000000 1.270777 -2.024969 -2.977841
 2200.000000 1.189195 -2.201268 -2.929898
 2300.000000 1.244773 -2.109989 -2.957519
 2400.000000 1.246856 -2.020980 -2.874831
 2500.000000 1.300214 -2.071396 -2.607931
 2600.000000 1.245809 -1.916385 -2.807796
 2700.000000 1.298760 -1.766979 -2.797171
 2800.000000 1.288075 -1.988119 -2.898184
 2900.000000 1.355319 -2.063667 -2.800875
 3000.000000 1.234495 -2.057337 -2.787121
 3100.000000 1.249434 -2.056903 3.073406
 3200.000000 1.256238 -1.875037 -2.874164
 3300.000000 1.215413 -1.930204 -2.831470
 3400.000000 1.212744 -2.076467 -2.695755
 3500.000000 1.255339 -2.161570 -2.931764
 3600.000000 1.250293 -2.047435 -2.832409
 3700.000000 1.364932 -1.903639 -2.909040
 3800.000000 1.385215 -1.952323 -2.902347
 3900.000000 1.200365 -2.168366 -2.783120
 4000.000000 1.272064 -1.714772 -2.810936
 4100.000000 1.036910 -1.777872 -2.961887
 4200.000000 1.043442 -1.695677 -2.846963
 4300.000000 1.173249 -1.399860 -2.931861
 4400.000000 1.215244 -1.218640 -2.923765
 4500.000000 1.231858 -1.299196 -3.128230
 4600.000000 1.259031 -1.406431 -2.710202
 4700.000000 1.296747 -1.396544 -2.744635
 4800.000000 1.385624 -1.278100 -2.867208
 4900.000000 1.285270 -1.302417 -2.902989
 5000.000000 1.229465 -1.357393 -2.508538
 5100.000000 1.567557 -1.265380 -2.498512
 5200.000000 1.217049 -1.435299 -2.659821
 5300.000000 1.263660 -1.500644 -2.565499
 5400.000000 1.409374 -1.417859 -2.857728
 5500.000000 1.220069 -1.405465 -2.790352
 5600.000000 1.024449 -1.401555 -2.885255
 5700.000000 1.060063 -1.357033 -2.708984
 5800.000000 1.070100 -1.392972 -2.574466
 5900.000000 0.990663 -1.491952 -2.713690
 6000.000000 1.024405 -1.339187 -2.750124
 6100.000000 1.138266 -1.389643 -2.843201
 6200.000000 1.186461 -1.371257 -2.616825
 6300.000000 1.110757 -1.395776 -2.576395
 6400.000000 1.211227 -1.394661 -2.300514
 6500.000000 1.132046 -1.426957 -2.716769
