#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 0.000000 1.230720 -1.683155 -2.632499
 100.000000 1.141728 -1.768288 -2.482964
 200.000000 1.242401 -1.608519 -2.751854
 300.000000 1.273072 -1.619550 -2.616394
 400.000000 1.261934 -1.643016 -2.610329
 500.000000 1.232463 -1.549084 -2.473640
 600.000000 1.190320 -1.586089 -2.529683
 700.000000 1.266770 -1.646476 -2.546781
 800.000000 1.363027 -1.430864 -2.354576
 900.000000 1.330240 -1.525790 -2.440701
 1000.000000 1.298789 -1.513497 -2.499503
 1100.000000 1.204731 -1.579837 -2.730729
 1200.000000 1.225846 -1.650060 -2.660666
 1300.000000 1.277654 -1.572072 -2.621503
 1400.000000 1.259878 -1.542523 -2.565164
 1500.000000 1.199922 -1.484911 -2.630099
 1600.000000 1.252156 -1.514551 -2.517137
 1700.000000 1.321358 -1.469232 -2.377165
 1800.000000 1.258014 -1.539115 -2.594803
 1900.000000 1.259928 -1.621535 -2.579239
 2000.000000 1.259709 -1.459851 -2.532801
 2100.000000 1.209448 -1.545847 -2.610192
 2200.000000 1.219409 -1.523671 -2.618284
 2300.000000 1.194584 -1.657768 -2.929545
 2400.000000 1.322460 -1.487548 -2.695373
 2500.000000 1.173813 -1.680364 -2.898682
 2600.000000 1.144652 -1.670818 -2.754916
 2700.000000 1.268451 -1.683217 -2.757740
 2800.000000 1.209869 -1.860247 -2.830638
 2900.000000 1.305328 -1.614543 -2.711244
 3000.000000 1.124558 -1.622317 -2.728508
 3100.000000 1.284441 -1.560773 -2.770224
 3200.000000 1.223219 -1.686141 -2.847316
 3300.000000 1.172057 -1.600888 -2.688417
 3400.000000 1.199264 -1.763200 -2.787959
 3500.000000 1.189503 -1.660576 -2.778394
 3600.000000 1.215934 -1.576951 -2.771144
 3700.000000 1.262663 -1.492708 -2.804191
 3800.000000 1.305020 -1.497241 -2.819990
 3900.000000 1.294042 -1.421646 -2.651117
 4000.000000 1.215516 -1.501864 -2.515245
 4100.000000 1.275908 -1.581124 -2.418178
 4200.000000 1.271192 -1.481685 -2.504179
 4300.000000 1.307609 -1.468610 -2.495313
 4400.000000 1.303932 -1.617613 -2.590664
 4500.000000 1.229945 -1.475451 -2.549936
 4600.000000 1.293513 -1.593357 -2.651645
 4700.000000 1.280213 -1.622628 -2.575440
 4800.000000 1.262018 -1.613057 -2.692762
 4900.000000 1.248864 -1.592150 -2.481255
 5000.000000 1.286218 -1.539783 -2.585306
 5100.000000 1.182708 -1.517389 -2.738414
 5200.000000 1.260295 -1.628195 -2.597212
 5300.000000 1.172577 -1.734295 -2.734288
 5400.000000 1.313051 -1.625451 -2.496979
 5500.000000 1.193130 -1.420298 -2.535087
 5600.000000 1.251180 -1.494610 -2.527002
 5700.000000 1.256627 -1.449221 -2.520663
 5800.000000 1.296161 -1.454767 -2.506126
 5900.000000 1.276579 -1.670174 -2.660121
 6000.000000 1.236544 -1.616145 -2.586537
 6100.000000 1.293668 -1.534709 -2.622831
 6200.000000 1.341809 -1.523482 -2.502103
 6300.000000 1.293013 -1.530248 -2.564088
 6400.000000 1.251437 -1.643286 -2.550871
 6500.000000 1.255154 -1.647470 -2.534859
 6600.000000 1.321870 -1.531950 -2.562255
 6700.000000 1.241231 -1.568532 -2.614657
 6800.000000 1.319685 -1.494503 -2.617058
 6900.000000 1.262525 -1.542443 -2.759779
 7000.000000 1.267154 -1.603896 -2.618896
 7100.000000 1.225333 -1.636397 -2.659517
 7200.000000 1.292063 -1.606869 -2.589253
 7300.000000 1.290103 -1.560115 -2.584081
 7400.000000 1.261077 -1.608238 -2.635755
 7500.000000 1.241619 -1.527283 -2.541939
 7600.000000 1.136017 -1.606626 -2.739526
 7700.000000 1.352233 -1.531265 -2.570863
 7800.000000 1.274278 -1.574814 -2.686986
 7900.000000 1.300006 -1.593089 -2.597681
 8000.000000 1.314310 -1.503478 -2.418497
 8100.000000 1.297101 -1.481525 -2.465479
 8200.000000 1.301535 -1.454273 -2.522357
 8300.000000 1.371747 -1.421902 -2.437509
 8400.000000 1.273544 -1.493084 -2.535573
 8500.000000 1.308832 -1.523169 -2.615638
 8600.000000 1.240773 -1.617280 -2.732127
 8700.000000 1.310370 -1.449487 -2.568666
 8800.000000 1.162800 -1.689147 -2.692861
 8900.000000 1.252757 -1.555860 -2.634329
 9000.000000 1.220772 -1.505370 -2.502237
 9100.000000 1.307030 -1.573004 -2.630168
 9200.000000 1.161755 -1.595034 -2.641780
 9300.000000 1.195361 -1.583148 -2.638969
 9400.000000 1.219455 -1.527171 -2.512086
 9500.000000 1.295391 -1.466598 -2.442468
 9600.000000 1.211162 -1.600366 -2.737282
 9700.000000 1.159036 -1.709541 -2.570484
 9800.000000 1.245194 -1.601990 -2.573979
 9900.000000 1.238111 -1.488222 -2.531919
 10000.000000 1.427127 -1.516604 -2.528121
 10100.000000 1.371346 -1.618098 -2.508605
 10200.000000 1.307481 -1.658004 -2.585172
 10300.000000 1.255263 -1.644420 -2.414667
 10400.000000 1.252017 -1.588029 -2.651277
 10500.000000 1.209862 -1.585006 -2.604592
 10600.000000 1.324842 -1.662758 -2.696172
 10700.000000 1.261792 -1.658281 -2.609326
 10800.000000 1.407052 -1.573837 -2.588577
 10900.000000 1.387430 -1.588626 -2.477293
 11000.000000 1.370644 -1.603513 -2.532669
 11100.000000 1.314779 -1.588405 -2.772374
 11200.000000 1.508696 -1.549785 -2.640763
 11300.000000 1.525749 -1.434778 -2.646966
 11400.000000 1.495698 -1.403156 -2.564613
 11500.000000 1.398369 -1.529250 -2.722300
 11600.000000 1.507038 -1.450116 -2.613512
 11700.000000 1.429905 -1.500061 -2.607207
 11800.000000 1.492015 -1.470882 -2.738813
 11900.000000 1.306008 -1.571602 -2.591915
 12000.000000 1.351905 -1.670443 -2.685294
 12100.000000 1.387357 -1.467143 -2.627852
 12200.000000 1.373427 -1.565214 -2.591982
 12300.000000 1.404808 -1.493342 -2.502927
 12400.000000 1.257246 -1.549592 -2.575325
 12500.000000 1.351289 -1.657053 -2.483417
 12600.000000 1.267564 -1.598319 -2.548555
 12700.000000 1.332521 -1.653360 -2.494072
 12800.000000 1.264368 -1.620867 -2.666468
 12900.000000 1.303358 -1.715635 -2.558097
 13000.000000 1.257984 -1.659021 -2.629525
 13100.000000 1.287524 -1.651983 -2.638037
 13200.000000 1.308735 -1.553658 -2.581674
 13300.000000 1.409009 -1.580987 -2.510776
 13400.000000 1.370221 -1.589976 -2.591198
 13500.000000 1.346212 -1.561558 -2.610789
 13600.000000 1.369411 -1.601313 -2.704719
 13700.000000 1.201334 -1.617620 -2.399540
 13800.000000 1.325144 -1.593802 -2.506726
 13900.000000 1.347195 -1.615242 -2.560537
 14000.000000 1.268637 -1.597006 -2.551516
 14100.000000 1.322233 -1.617792 -2.647061
 14200.000000 1.366732 -1.451452 -2.480513
 14300.000000 1.274735 -1.697795 -2.688576
 14400.000000 1.308098 -1.659045 -2.536827
 14500.000000 1.256171 -1.696710 -2.419758
 14600.000000 1.366719 -1.582508 -2.490858
 14700.000000 1.337098 -1.622310 -2.429662
 14800.000000 1.337777 -1.544946 -2.533909
 14900.000000 1.370818 -1.474274 -2.475093
 15000.000000 1.267527 -1.519176 -2.470448
 15100.000000 1.293863 -1.529965 -2.460368
 15200.000000 1.303881 -1.562812 -2.418359
 15300.000000 1.340858 -1.690853 -2.582340
 15400.000000 1.221087 -1.669687 -2.616526
 15500.000000 1.242769 -1.584174 -2.569209
 15600.000000 1.268926 -1.637466 -2.422258
 15700.000000 1.296996 -1.602993 -2.693410
 15800.000000 1.282029 -1.666572 -2.600916
 15900.000000 1.281507 -1.596450 -2.543317
 16000.000000 1.307278 -1.594709 -2.560440
 16100.000000 1.269991 -1.604893 -2.662040
 16200.000000 1.246125 -1.766660 -2.580037
 16300.000000 1.275488 -1.554509 -2.644825
 16400.000000 1.291474 -1.570374 -2.512300
 16500.000000 1.333661 -1.521500 -2.569781
 16600.000000 1.341199 -1.527876 -2.651798
 16700.000000 1.247097 -1.606437 -2.743159
 16800.000000 1.337321 -1.698339 -2.686668
 16900.000000 1.249337 -1.651653 -2.607487
 17000.000000 1.325484 -1.519727 -2.664112
 17100.000000 1.384336 -1.561482 -2.520579
 17200.000000 1.349331 -1.575463 -2.684216
 17300.000000 1.339659 -1.643874 -2.616609
 17400.000000 1.297901 -1.698149 -2.554821
 17500.000000 1.281435 -1.662682 -2.576397
 17600.000000 1.226286 -1.693336 -2.583608
 17700.000000 1.261240 -1.553701 -2.608409
 17800.000000 1.254414 -1.641179 -2.464722
 17900.000000 1.229732 -1.590298 -2.578822
 18000.000000 1.257721 -1.436817 -2.556079
 18100.000000 1.291165 -1.451671 -2.596522
 18200.000000 1.247959 -1.578041 -2.730006
 18300.000000 1.196484 -1.664259 -2.538449
 18400.000000 1.243342 -1.667586 -2.512733
 18500.000000 1.262037 -1.544980 -2.563159
 18600.000000 1.326510 -1.509328 -2.508214
 18700.000000 1.250057 -1.665948 -2.649111
 18800.000000 1.243941 -1.693339 -2.674034
 18900.000000 1.268921 -1.613834 -2.576843
 19000.000000 1.277246 -1.664161 -2.544610
 19100.000000 1.208170 -1.700167 -2.580154
 19200.000000 1.165432 -1.720629 -2.669084
 19300.000000 1.228492 -1.755562 -2.792340
 19400.000000 1.198392 -1.637204 -2.718228
 19500.000000 1.282635 -1.623365 -2.615462
 19600.000000 1.267128 -1.493834 -2.537365
 19700.000000 1.250575 -1.467358 -2.476540
 19800.000000 1.311479 -1.412381 -2.353083
 19900.000000 1.277390 -1.617488 -2.597047
 20000.000000 1.164065 -1.700559 -2.810113
 20100.000000 1.263572 -1.585383 -2.510496
 20200.000000 1.314981 -1.535155 -2.617934
 20300.000000 1.343548 -1.558087 -2.573174
 20400.000000 1.380049 -1.467157 -2.439132
 20500.000000 1.244838 -1.508209 -2.712192
 20600.000000 1.321998 -1.605425 -2.558392
 20700.000000 1.300158 -1.605212 -2.564465
 20800.000000 1.233309 -1.582033 -2.669213
 20900.000000 1.283766 -1.549438 -2.546492
 21000.000000 1.216741 -1.594399 -2.620101
 21100.000000 1.276949 -1.678082 -2.590558
 21200.000000 1.222303 -1.550314 -2.679114
 21300.000000 1.216241 -1.646468 -2.630105
 21400.000000 1.362724 -1.473461 -2.602423
 21500.000000 1.279133 -1.591194 -2.526886
 21600.000000 1.219758 -1.686295 -2.612132
 21700.000000 1.330062 -1.656021 -2.547306
 21800.000000 1.194574 -1.687852 -2.758178
 21900.000000 1.192530 -1.730004 -2.752953
 22000.000000 1.264106 -1.642539 -2.707007
 22100.000000 1.267857 -1.594449 -2.486732
 22200.000000 1.407291 -1.560775 -2.604766
 22300.000000 1.326382 -1.570374 -2.629058
 22400.000000 1.177916 -1.629223 -2.609182
 22500.000000 1.107938 -1.728012 -2.638672
 22600.000000 1.159772 -1.624231 -2.600500
 22700.000000 1.173159 -1.593344 -2.653778
 22800.000000 1.345158 -1.629586 -2.586145
 22900.000000 1.182467 -1.709632 -2.617814
 23000.000000 1.246750 -1.581784 -2.593383
 23100.000000 1.287673 -1.717801 -2.683560
 23200.000000 1.229171 -1.749064 -2.676127
 23300.000000 1.300021 -1.555391 -2.625735
 23400.000000 1.359981 -1.564866 -2.683273
 23500.000000 1.254599 -1.561949 -2.769558
 23600.000000 1.191285 -1.715217 -2.775183
 23700.000000 1.296332 -1.630412 -2.667160
 23800.000000 1.253686 -1.627996 -2.669907
 23900.000000 1.411187 -1.591945 -2.584737
 24000.000000 1.335065 -1.608567 -2.495520
 24100.000000 1.343930 -1.706596 -2.700587
 24200.000000 1.359090 -1.581786 -2.642852
 24300.000000 1.304760 -1.595791 -2.634535
 24400.000000 1.447866 -1.524795 -2.629193
 24500.000000 1.447603 -1.479652 -2.442871
