#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 0.000000 1.251030 -1.613758 -2.526570
 100.000000 1.218082 -1.603735 -2.618330
 200.000000 1.250457 -1.547029 -2.643774
 300.000000 1.256500 -1.399776 -2.494438
 400.000000 1.161402 -1.591175 -2.674906
 500.000000 1.266530 -1.666587 -2.732302
 600.000000 1.258580 -1.539211 -2.579296
 700.000000 1.206751 -1.633079 -2.658649
 800.000000 1.195121 -1.661845 -2.755618
 900.000000 1.166376 -1.633039 -2.593371
 1000.000000 1.239808 -1.704187 -2.665808
 1100.000000 1.256429 -1.386103 -2.393801
 1200.000000 1.112275 -1.665800 -2.854688
 1300.000000 1.190711 -1.570441 -2.642071
 1400.000000 1.326538 -1.516189 -2.570047
 1500.000000 1.168031 -1.708783 -2.695389
 1600.000000 1.256542 -1.686590 -2.541486
 1700.000000 1.286794 -1.656593 -2.586322
 1800.000000 1.128659 -1.754868 -2.975474
 1900.000000 1.187258 -1.619533 -2.836713
 2000.000000 1.200749 -1.650469 -2.687229
 2100.000000 1.169704 -1.790636 -2.875067
 2200.000000 1.218020 -1.846824 -2.836552
 2300.000000 1.149996 -1.724345 -2.891814
 2400.000000 1.204264 -1.668387 -2.723158
 2500.000000 1.237021 -1.742784 -2.879696
 2600.000000 1.266215 -1.633322 -2.718638
 2700.000000 1.257465 -1.780171 -2.677872
 2800.000000 1.207182 -1.673193 -2.903811
 2900.000000 1.156660 -1.848830 -2.871905
 3000.000000 1.136111 -1.764679 -2.893748
 3100.000000 1.076731 -1.834558 -2.757520
 3200.000000 1.118812 -1.805935 -2.827551
 3300.000000 1.293420 -1.671306 -2.822805
 3400.000000 1.189712 -1.789390 -2.851475
 3500.000000 1.209487 -1.717186 -3.026725
 3600.000000 1.228994 -1.613563 -2.672993
 3700.000000 1.361314 -1.603678 -2.624994
 3800.000000 1.340040 -1.581066 -2.540712
 3900.000000 1.232842 -1.648662 -2.647681
 4000.000000 1.240176 -1.687897 -2.702327
 4100.000000 1.276486 -1.555719 -2.593003
 4200.000000 1.275876 -1.728936 -2.820104
 4300.000000 1.144669 -1.869384 -2.924658
 4400.000000 1.366234 -1.582681 -2.903052
 4500.000000 1.213146 -1.561811 -2.553877
 4600.000000 1.275920 -1.511509 -2.553035
 4700.000000 1.368947 -1.592462 -2.637321
 4800.000000 1.395181 -1.669718 -2.811520
 4900.000000 1.357036 -1.602323 -2.728742
 5000.000000 1.255165 -1.529113 -2.704397
 5100.000000 1.324025 -1.660954 -2.698072
 5200.000000 1.258345 -1.587798 -2.727438
 5300.000000 1.181617 -1.632764 -2.774829
 5400.000000 1.217138 -1.583965 -2.847825
 5500.000000 1.091452 -1.748715 -2.803794
 5600.000000 1.282219 -1.613034 -2.784131
 5700.000000 1.222824 -1.740987 -2.811147
 5800.000000 1.198097 -1.756931 -2.781872
 5900.000000 1.248110 -1.693975 -2.771929
 6000.000000 1.237477 -1.607894 -2.685496
 6100.000000 1.240720 -1.555737 -2.624652
 6200.000000 1.266288 -1.465461 -2.572442
 6300.000000 1.246772 -1.498718 -2.556408
 6400.000000 1.347851 -1.448335 -2.488298
 6500.000000 1.239166 -1.698778 -2.819311
 6600.000000 1.158364 -1.807696 -2.874432
 6700.000000 1.251380 -1.762954 -2.834282
 6800.000000 1.303456 -1.692209 -2.797305
 6900.000000 1.307368 -1.580476 -2.670816
 7000.000000 1.228411 -1.820313 -2.885755
 7100.000000 1.114945 -1.740052 -2.799480
 7200.000000 1.197222 -1.819845 -2.770433
 7300.000000 1.286359 -1.655545 -2.854701
 7400.000000 1.209857 -1.653880 -2.856793
 7500.000000 1.414483 -1.469844 -2.821717
 7600.000000 1.194224 -1.649655 -2.757770
 7700.000000 1.253478 -1.827317 -2.759622
 7800.000000 1.325324 -1.577388 -2.727889
 7900.000000 1.189695 -1.786072 -2.763612
 8000.000000 1.229843 -1.687585 -2.900819
 8100.000000 1.221161 -1.859873 -2.795380
 8200.000000 1.351075 -1.640841 -2.810941
 8300.000000 1.375984 -1.557723 -2.769138
 8400.000000 1.240414 -1.784438 -2.763582
 8500.000000 1.277687 -1.710088 -2.716809
 8600.000000 1.279631 -1.644851 -2.925818
 8700.000000 1.208280 -1.755215 -2.763141
 8800.000000 1.295817 -1.708564 -2.828544
 8900.000000 1.316510 -1.741636 -2.842304
 9000.000000 1.144879 -1.898210 -2.912268
 9100.000000 1.086887 -1.913192 -2.901013
 9200.000000 1.331530 -1.802222 -2.808817
 9300.000000 1.333564 -1.612106 -2.753582
 9400.000000 1.193087 -1.743847 -2.787261
 9500.000000 1.400421 -1.628242 -2.696667
 9600.000000 1.289987 -1.687239 -2.733390
 9700.000000 1.321264 -1.721425 -2.735873
 9800.000000 1.342545 -1.819058 -2.814520
 9900.000000 1.267006 -1.715804 -2.865365
 10000.000000 1.323374 -1.652288 -2.860060
 10100.000000 1.301371 -1.713471 -2.742625
 10200.000000 1.425002 -1.658637 -2.864034
 10300.000000 1.312093 -1.644102 -2.828761
 10400.000000 1.362864 -1.432878 -2.630598
 10500.000000 1.452568 -1.527478 -2.612420
 10600.000000 1.391323 -1.582523 -2.649567
 10700.000000 1.208521 -1.712101 -2.772879
 10800.000000 1.317205 -1.644470 -2.692134
 10900.000000 1.247453 -1.648170 -2.784144
 11000.000000 1.257870 -1.744261 -2.831412
 11100.000000 1.232916 -1.490158 -2.596608
 11200.000000 1.294224 -1.738812 -2.716061
 11300.000000 1.260668 -1.734275 -2.746611
 11400.000000 1.159392 -1.626129 -2.663838
 11500.000000 1.340433 -1.571601 -2.686691
 11600.000000 1.341716 -1.362417 -2.580040
 11700.000000 1.257622 -1.533272 -2.737425
 11800.000000 1.297901 -1.490852 -2.576096
 11900.000000 1.256897 -1.564790 -2.684160
 12000.000000 1.290024 -1.583152 -2.692704
 12100.000000 1.229702 -1.642109 -2.853275
 12200.000000 1.233851 -1.719438 -2.781487
 12300.000000 1.201398 -1.661605 -2.696922
 12400.000000 1.386995 -1.543686 -2.561257
 12500.000000 1.210672 -1.670527 -2.691764
 12600.000000 1.330854 -1.577516 -2.636446
 12700.000000 1.285151 -1.517319 -2.333717
 12800.000000 1.259849 -1.658310 -2.645622
 12900.000000 1.226639 -1.346255 -2.573360
 13000.000000 1.207146 -1.438796 -2.520362
 13100.000000 1.315049 -1.258745 -2.462059
 13200.000000 1.243856 -1.340310 -2.503236
 13300.000000 1.177927 -1.584161 -2.417176
 13400.000000 1.201275 -1.518874 -2.571397
 13500.000000 1.192377 -1.633817 -2.673382
 13600.000000 1.304283 -1.658141 -2.620631
 13700.000000 1.194723 -1.577579 -2.522200
 13800.000000 1.248481 -1.714632 -2.616951
 13900.000000 1.332728 -1.577516 -2.470437
 14000.000000 1.356396 -1.493308 -2.446036
 14100.000000 1.250992 -1.566537 -2.387633
 14200.000000 1.269879 -1.575022 -2.540842
 14300.000000 1.324676 -1.620927 -2.365558
 14400.000000 1.213366 -1.651566 -2.581414
 14500.000000 1.229805 -1.588439 -2.546420
 14600.000000 1.334943 -1.527333 -2.778429
 14700.000000 1.250977 -1.552803 -2.471342
 14800.000000 1.199851 -1.545445 -2.528896
 14900.000000 1.247422 -1.505247 -2.581952
 15000.000000 1.212100 -1.629313 -2.702557
 15100.000000 1.238328 -1.721755 -2.763412
 15200.000000 1.193022 -1.634647 -2.577603
 15300.000000 1.218707 -1.585761 -2.713549
 15400.000000 1.443712 -1.526341 -2.492673
 15500.000000 1.277686 -1.714501 -2.491757
 15600.000000 1.311492 -1.561624 -2.516140
 15700.000000 1.361786 -1.598940 -2.469146
 15800.000000 1.370328 -1.597871 -2.565744
 15900.000000 1.282589 -1.527886 -2.585804
 16000.000000 1.236567 -1.692047 -2.585253
 16100.000000 1.219967 -1.795633 -2.672213
 16200.000000 1.231290 -1.550730 -2.603716
 16300.000000 1.218885 -1.642211 -2.550806
