#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 0.000000 1.181437 -1.558482 -2.391197
 100.000000 1.153769 -1.570613 -2.475149
 200.000000 1.167022 -1.627287 -2.418658
 300.000000 1.094565 -1.741824 -2.510019
 400.000000 1.192107 -1.699491 -2.562455
 500.000000 1.125740 -1.697081 -2.372506
 600.000000 1.268962 -1.800871 -2.479675
 700.000000 1.264013 -1.754775 -2.514310
 800.000000 1.180121 -1.778399 -2.635836
 900.000000 1.206589 -1.593566 -2.526315
 1000.000000 1.154270 -1.646198 -2.706228
 1100.000000 1.079967 -1.708729 -2.784457
 1200.000000 1.112934 -1.712711 -2.585575
 1300.000000 1.134583 -1.786111 -2.740709
 1400.000000 1.068444 -1.775843 -2.636248
 1500.000000 1.091855 -1.735163 -2.602269
 1600.000000 1.135061 -1.844465 -2.596774
 1700.000000 1.095690 -1.690658 -2.595701
 1800.000000 1.068333 -1.766195 -2.701057
 1900.000000 1.174702 -1.702127 -2.642339
 2000.000000 0.998269 -1.623075 -2.636283
 2100.000000 0.998886 -1.497227 -2.758676
 2200.000000 0.951923 -1.685171 -2.719125
 2300.000000 0.954693 -1.756177 -2.543090
 2400.000000 0.900138 -1.529996 -2.488631
 2500.000000 0.883032 -1.319507 -2.722050
 2600.000000 1.034975 -1.469912 -2.641763
 2700.000000 0.872425 -1.589039 -2.715239
 2800.000000 0.791505 -1.615976 -2.711655
 2900.000000 0.909297 -1.630480 -2.728556
 3000.000000 0.839562 -1.560714 -2.677179
 3100.000000 0.941816 -1.782420 -2.719667
 3200.000000 0.851165 -1.668475 -2.846170
 3300.000000 0.774264 -1.651031 -2.868491
 3400.000000 0.925096 -1.542622 -2.680499
 3500.000000 0.858507 -1.638125 -2.648641
 3600.000000 0.826852 -1.718109 -2.753771
 3700.000000 0.916238 -1.574101 -2.800204
 3800.000000 0.988304 -1.975087 -2.653921
 3900.000000 0.885694 -1.830044 -2.594837
 4000.000000 0.915147 -1.644208 -2.680906
 4100.000000 0.919264 -1.682587 -2.726567
 4200.000000 0.862615 -1.586897 -2.731970
 4300.000000 0.866100 -1.821009 -2.682534
 4400.000000 0.937128 -1.583029 -2.740327
 4500.000000 0.891165 -1.613804 -2.656032
 4600.000000 0.909206 -1.604872 -2.698413
 4700.000000 0.925106 -1.627062 -2.659670
 4800.000000 0.915545 -1.726710 -2.687388
 4900.000000 0.808136 -1.719445 -2.689280
 5000.000000 0.896744 -1.724760 -2.679722
 5100.000000 0.919990 -1.757164 -2.679087
 5200.000000 0.853859 -1.874116 -2.895047
 5300.000000 0.917418 -1.666754 -2.738953
 5400.000000 0.854663 -1.976861 -2.995259
 5500.000000 1.032197 -1.636556 -2.795498
 5600.000000 1.107002 -1.360815 -2.693452
 5700.000000 1.109204 -1.731258 -2.701483
 5800.000000 0.994762 -1.858327 -2.760311
 5900.000000 1.066858 -1.710452 -2.658138
 6000.000000 1.068321 -1.781938 -2.692090
 6100.000000 1.091846 -1.785668 -2.682695
 6200.000000 1.154349 -1.546969 -2.613967
 6300.000000 1.128034 -1.724392 -2.571382
 6400.000000 1.198798 -1.594012 -2.551163
 6500.000000 1.037562 -1.800603 -2.786134
 6600.000000 1.130677 -1.788066 -2.519620
 6700.000000 1.198395 -1.619583 -2.486830
 6800.000000 1.124892 -1.602971 -2.644613
 6900.000000 1.075800 -1.605800 -2.545488
 7000.000000 1.192458 -1.656407 -2.712972
 7100.000000 1.114059 -1.857117 -2.798084
 7200.000000 1.197590 -1.633038 -2.621852
 7300.000000 1.011506 -1.716488 -2.780650
 7400.000000 1.065174 -1.752909 -2.562698
 7500.000000 1.064563 -1.545652 -2.498228
 7600.000000 1.151285 -1.701687 -2.581047
 7700.000000 1.092236 -1.591698 -2.421072
 7800.000000 1.113235 -1.603971 -2.625840
 7900.000000 1.147431 -1.627991 -2.389640
 8000.000000 1.043221 -1.989188 -2.982340
 8100.000000 0.939466 -1.866953 -3.034606
 8200.000000 0.996658 -1.840827 -2.868201
 8300.000000 1.018045 -1.765163 -2.765162
 8400.000000 0.938852 -1.822391 -2.848327
 8500.000000 1.028614 -1.771851 -2.721815
 8600.000000 1.066688 -1.790824 -2.864921
 8700.000000 1.125755 -1.839775 -2.710437
 8800.000000 0.990482 -1.826760 -2.770179
 8900.000000 1.067161 -1.875171 -2.799759
 9000.000000 1.138477 -1.976538 -2.799673
 9100.000000 1.086558 -1.908723 -2.932273
 9200.000000 1.078235 -1.902564 -2.998066
 9300.000000 1.141625 -1.774252 -2.969099
 9400.000000 1.043393 -1.744975 -2.736984
 9500.000000 1.160605 -1.626650 -2.638710
 9600.000000 1.040908 -1.657871 -2.728861
 9700.000000 1.056608 -1.713362 -2.580667
 9800.000000 1.100703 -1.700004 -2.654726
 9900.000000 1.144204 -1.625866 -2.527035
 10000.000000 1.112879 -1.827565 -2.627958
 10100.000000 1.170542 -1.804693 -2.728392
 10200.000000 1.226996 -1.661623 -2.616164
 10300.000000 1.265426 -1.678338 -2.624590
 10400.000000 1.222497 -1.681821 -2.778714
 10500.000000 1.145031 -1.818298 -2.694386
